"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"chronic_disability",NA,"no",NA,0.932558139534884,NA,0.912642175176947,0.95247410389282,"district_KRI","erbil"
"chronic_disability",NA,"yes",NA,0.0674418604651163,NA,0.0475258961071798,0.0873578248230528,"district_KRI","erbil"
"chronic_disability",NA,"no",NA,0.882758620689655,NA,0.85163144057504,0.913885800804271,"district_KRI","sulaymaniyah"
"chronic_disability",NA,"yes",NA,0.117241379310345,NA,0.0861141991957294,0.14836855942496,"district_KRI","sulaymaniyah"
"chronic_disability",NA,"choose_no_answer",NA,0.0163934426229508,NA,-0.0105713709336307,0.0433582561795324,"district_KRI","dahuk"
"chronic_disability",NA,"no",NA,0.819672131147541,NA,0.738032103834784,0.901312158460298,"district_KRI","dahuk"
"chronic_disability",NA,"yes",NA,0.163934426229508,NA,0.0853191608785586,0.242549691580458,"district_KRI","dahuk"
"chronic_disability",NA,"no",NA,0.814516129032258,NA,0.756869008287141,0.872163249777375,"district_KRI","sumel"
"chronic_disability",NA,"yes",NA,0.185483870967742,NA,0.127836750222625,0.243130991712859,"district_KRI","sumel"
"chronic_disability",NA,"no",NA,0.933333333333333,NA,0.823676424869902,1.04299024179676,"district_KRI","sharbazher"
"chronic_disability",NA,"yes",NA,0.0666666666666667,NA,-0.0429902417967648,0.176323575130098,"district_KRI","sharbazher"
"chronic_disability",NA,"no",NA,1,NA,NA,NA,"district_KRI","halabja"
"chronic_disability",NA,"no",NA,1,NA,NA,NA,"district_KRI","rania"
"chronic_disability",NA,"no",NA,0.91304347826087,NA,0.843953062027565,0.982133894494174,"district_KRI","kalar"
"chronic_disability",NA,"yes",NA,0.0869565217391304,NA,0.0178661055058263,0.156046937972435,"district_KRI","kalar"
"chronic_disability",NA,"no",NA,0.891891891891892,NA,0.806766083744072,0.977017700039712,"district_KRI","said_sadiq"
"chronic_disability",NA,"yes",NA,0.108108108108108,NA,0.0229822999602881,0.193233916255928,"district_KRI","said_sadiq"
"chronic_disability",NA,"no",NA,0.909090909090909,NA,0.75955876118623,1.05862305699559,"district_KRI","darbandihkan"
"chronic_disability",NA,"yes",NA,0.0909090909090909,NA,-0.0586230569955885,0.24044123881377,"district_KRI","darbandihkan"
"chronic_disability",NA,"no",NA,0.851851851851852,NA,0.771588097235808,0.932115606467896,"district_KRI","koisnjaq"
"chronic_disability",NA,"yes",NA,0.148148148148148,NA,0.0678843935321041,0.228411902764192,"district_KRI","koisnjaq"
"chronic_disability",NA,"no",NA,0.83739837398374,NA,0.782447343608444,0.892349404359036,"district_KRI","zakho"
"chronic_disability",NA,"yes",NA,0.16260162601626,NA,0.107650595640964,0.217552656391556,"district_KRI","zakho"
"chronic_disability",NA,"no",NA,1,NA,NA,NA,"district_KRI","soran"
"chronic_disability",NA,"no",NA,0.954545454545455,NA,0.879779380593115,1.02931152849779,"district_KRI","shaqlawa"
"chronic_disability",NA,"yes",NA,0.0454545454545455,NA,-0.0293115284977942,0.120220619406885,"district_KRI","shaqlawa"
"chronic_disability",NA,"no",NA,1,NA,NA,NA,"district_KRI","amedi"
"chronic_disability",NA,"no",NA,0.972222222222222,NA,0.926531843695792,1.01791260074865,"district_KRI","Shikhan"
"chronic_disability",NA,"yes",NA,0.0277777777777778,NA,-0.017912600748652,0.0734681563042075,"district_KRI","Shikhan"
"chronic_disability",NA,NA,NA,NA,NA,NA,NA,"district_KRI","Akre"
"chronic_disability",NA,"no",NA,0.882352941176471,NA,0.749864200694778,1.01484168165816,"district_KRI","Bardarash"
"chronic_disability",NA,"yes",NA,0.117647058823529,NA,-0.0148416816581631,0.250135799305222,"district_KRI","Bardarash"
"chronic_disability",NA,"no",NA,0.909090909090909,NA,0.75955876118623,1.05862305699559,"district_KRI","chamchamal"
"chronic_disability",NA,"yes",NA,0.0909090909090909,NA,-0.0586230569955885,0.24044123881377,"district_KRI","chamchamal"
"chronic_disability",NA,"no",NA,0.333333333333333,NA,-0.214951208983824,0.88161787565049,"district_KRI","pshdar"
"chronic_disability",NA,"yes",NA,0.666666666666667,NA,0.118382124349509,1.21495120898382,"district_KRI","pshdar"
